date,month,temper,rainfall,water_temper,in_bod,in_cod,in_ss,in_tn,in_tp,in_bac,flux
20190101,1,-4.8,0,6.6,18.9,21,13.3,14.184,0.946,5000,413
20190102,1,-4.4,0,6.6,16.9,19,10,13.651,0.955,5000,357
20190103,1,-5.5,0,6.6,21.1,18.4,17.3,17.357,0.85,4000,414
20190104,1,-2.8,0,6.5,16.4,18.3,10.3,19.003,0.886,2000,400
20190105,1,-1.3,0,6.5,17.4,18.2,11.7,18.773,0.907,4000,353.3
20190106,1,-5.5,0,6.6,16.2,19.2,12,19.253,0.922,2000,396.2
20190107,1,-3.1,0,6.6,18,19.1,9.6,15.36,0.96,2000,408
20190108,1,-0.8,0,6.6,24.4,19.4,16.4,15.84,0.96,5000,412
20190109,1,-6.3,0,6.5,20.2,15.3,11.2,11.52,0.48,1000,350
20190110,1,-0.6,0,6.5,17.3,17.4,8.8,17.299,0.749,2000,428
20190111,1,-1,0,6.4,14.6,15.7,10.4,16.042,1.006,1000,417
20190112,1,0.5,9.5,6.6,16.5,19.4,13.2,14.616,0.79,3000,481
20190113,1,-0.2,0,6.5,17.6,21.7,15.2,17.827,0.869,6000,475
20190114,1,-0.8,0,6.5,16.6,18.2,13.6,15.235,0.986,2000,475
20190115,1,0.1,0,6.6,15.2,27.5,10.8,14.026,0.934,1000,482
20190116,1,-4.5,0,6.2,17.5,18.2,9.6,16.282,0.84,1000,467
20190117,1,-0.8,0,6.3,19.3,21.9,24.5,19.354,1.082,3000,468
20190118,1,-2.4,0,6.3,18.8,19.7,20.8,15.562,1.188,2000,464
20190119,1,0.4,0,6.4,16.5,20.2,20.4,18.365,1.164,3000,466
20190120,1,0.9,0,6.5,18.9,21.9,18.4,17.107,1.363,5000,468
20190121,1,-0.4,0,6.5,20.9,19.9,44,17.707,0.857,4000,469
20190122,1,1.7,0,6.3,16.7,26.3,19,14.933,0.926,3000,472
20190123,1,2.1,0,6,19.8,20,13.5,15.36,0.955,3000,427
20190124,1,-2.6,0,4.8,17.9,20.5,14,15.163,0.922,1000,320
20190125,1,-2.7,0,4.6,16.8,15.4,13.3,11.088,1.109,2000,355
20190126,1,-4.4,0,4.9,20.7,20.4,14.4,12.053,1.169,6000,367
20190127,1,-3.4,0,5.1,18.5,23.7,13.6,11.794,1.174,7000,359
20190128,1,1.5,0,5.5,20.8,27.1,14,13.795,1.14,2000,441
20190129,1,-2.6,0,5.9,32.6,28.4,35.3,18.254,1.577,15000,526
20190130,1,1.6,0,5.6,9.9,24,23.3,18.019,1.169,6000,522
20190131,1,-0.5,1,5.5,253.2,223.6,500,58.23,10.051,8000,482
20190101,1,-4.8,0,12.6,112.8,81.1,138,40.738,3.413,57000,1622
20190102,1,-4.4,0,12.5,119.7,76.3,132,40.469,3.362,75000,1678
20190103,1,-5.5,0,12.1,95.8,68.5,104,29.448,2.791,49000,1681
20190104,1,-2.8,0,11.6,176.3,101.6,280,38.453,4.08,121000,1648
20190105,1,-1.3,0,11.6,116.1,81.3,192,38.338,4.049,75000,1624
20190106,1,-5.5,0,11.8,117.3,85.1,182,38.827,4.018,84000,1623
20190107,1,-3.1,0,11.8,66.3,58.3,58,27.36,2.88,52000,1669
20190108,1,-0.8,0,11.6,81.2,44.8,47,27.36,2.4,39000,1497
